EY_PV_Serial_Number,Parent Facility,Grouped / Standalone,Site Type,"Site Name 
(English)",City,latitude,longitude,Site Status,Year of Construction
917,27,Grouped,POTABLE WATER STORAGE TANKS (WTNK),Raw Water Tank for Harza Station,Al Henakiyah,24.079784,40.477358,Working,2011
995,27,Grouped,POTABLE WATER STORAGE TANKS (WTNK),Haarza  Producting Water tank ,Al Henakiyah,24.07984,40.477249,Working,2011
1073,15,Grouped,POTABLE WATER STORAGE TANKS (WTNK),Aldamiriyah Station Raw Water Tank ,Al Henakiyah,23.937755,40.330834,Working,2011
1074,25,Grouped,POTABLE WATER STORAGE TANKS (WTNK),Almahamah Station Raw Water Tank ,Al Henakiyah,24.753997,41.605252,Working,2010
1075,15,Grouped,POTABLE WATER STORAGE TANKS (WTNK),Aldamiriyah  Water Tank Producer,Al Henakiyah,23.93764,40.330658,Working,2011
1076,25,Grouped,POTABLE WATER STORAGE TANKS (WTNK),Almahamah Water Tank Producer ,Al Henakiyah,24.753988,41.605344,Working,2010
1077,26,Grouped,POTABLE WATER STORAGE TANKS (WTNK),Alhumej  Water Tank Producer ,Al Henakiyah,25.031646,41.22295,Working,2011
1078,Standalone,Standalone,POTABLE WATER STORAGE TANKS (WTNK),Medesis Water Field Collection Tank,Al Henakiyah,24.893074,40.411537,Standby,2009
1088,Standalone,Standalone,POTABLE WATER STORAGE TANKS (WTNK),Old Upper Tank,Al Henakiyah,24.898242,40.512842,Out of Service,1990
1091,Standalone,Standalone,POTABLE WATER STORAGE TANKS (WTNK),Upper Tank in the General Plan,Al Henakiyah,24.871097,40.513894,Out of Service,1990
1099,1099,Grouped,POTABLE WATER STORAGE TANKS (WTNK),Al Hanakiyah Tank 2,Al Henakiyah,24.853376,40.483496,Working,2010
1103,Standalone,Standalone,POTABLE WATER STORAGE TANKS (WTNK),Al Sheeb Upper Central Tank,Al Henakiyah,24.844898,40.467213,Working,2008
1113,21,Grouped,POTABLE WATER STORAGE TANKS (WTNK),Al Hasso Raw Water Tank ,Al Henakiyah,24.599875,41.61266,Working,2010
1118,Standalone,Standalone,POTABLE WATER STORAGE TANKS (WTNK),Hanakiyah  Purification Tank (Medesis),Al Henakiyah,24.844877,40.466956,Working,2010
1136,Standalone,Standalone,POTABLE WATER STORAGE TANKS (WTNK),Al Nakheel Reservoir ,Al Henakiyah,25.044443,40.478895,CWIP,2021
1137,Standalone,Standalone,POTABLE WATER STORAGE TANKS (WTNK),Skhebrah Reservoir ,Al Henakiyah,24.330417,41.249217,CWIP,2017
1138,Standalone,Standalone,POTABLE WATER STORAGE TANKS (WTNK),Balghah Reservoir ,Al Henakiyah,24.941333,41.599,CWIP,2017
1139,Standalone,Standalone,POTABLE WATER STORAGE TANKS (WTNK),Arjaa Reservoir ,Al Henakiyah,25.330283,41.025533,Working,2017
1140,Standalone,Standalone,POTABLE WATER STORAGE TANKS (WTNK),Um Shakaah Reservoir ,Al Henakiyah,24.3505,40.850667,Standby,2017
1141,Standalone,Standalone,POTABLE WATER STORAGE TANKS (WTNK),Sabha AL Eiaddi Reservoir ,Al Henakiyah,25.190383,41.4244,Standby,2017
1142,Standalone,Standalone,POTABLE WATER STORAGE TANKS (WTNK),Sabha Al Jahfah Reservoir ,Al Henakiyah,25.20605,40.86615,Standby,2017
1143,Standalone,Standalone,WATER FILLING STATION (WFLS),Bat-hi Tank,Al Henakiyah,25.0308,41.90796667,CWIP,2017
1157,1099,Grouped,POTABLE WATER STORAGE TANKS (WTNK),Al Hanakiyah Tank 1,Al Henakiyah,24.853948,40.483006,Working,2008
1,Standalone,Standalone,WATER TREATMENT PLANT (WTRP),Al-Mashi Wells,Al Madinah,24.186903,39.680168,Transfer to other department,2020
2,Standalone,Standalone,WATER TREATMENT PLANT (WTRP),Al-Haram (1),Al Madinah,24.46157,39.61612,Transfer to other department,2008
3,3,Grouped,WATER TREATMENT PLANT (WTRP),Al-Sih( Jabal Silaa),Al Madinah,24.47235,39.59992,Working,2017
4,Standalone,Standalone,WATER TREATMENT PLANT (WTRP),Al-Haram (2),Al Madinah,24.46149,39.61638,Transfer to other department,2015
17,17,Grouped,WATER TREATMENT PLANT (WTRP),Al-Boer,Al Madinah,24.947355,38.989396,Standby,2010
